id,chunk_id,label,statement,context,label_reason,subject_tags,chapter,chapter_title
100021,18,FALSE,Granite models are proprietary and unavailable on Hugging Face.,Granite foundation models and Hugging Face distribution,Contradicts passage detail stating Granite models are released under open-source licenses and available on Hugging Face.,"generative-ai,diffusion,gans",7,Generative AI
100022,18,barely-true,Granite models replace large commercial models in performance for enterprise code and language tasks.,Granite family foundation models on watsonx via Hugging Face,"Overstates performance claim; passage says Granite lags largest commercial models in raw scale, emphasizing transparency and flexibility instead.","generative-ai,diffusion,gans",7,Generative AI
100023,18,barely-true,Granite models deliver enterprise-grade explainability and privacy equivalent to commercial giants.,Granite family foundation models on watsonx platform,Overstates parity: passage notes built-in governance and privacy but says open-source lacks scale compared to largest commercial models.,"generative-ai,diffusion,gans",7,Generative AI
100024,129,TRUE,The Red Team must deliver reproducible adversarial test cases and prioritized fixes after a Day One sweep.,Day One security sweep agenda; reproducible test cases and CI/QA,"Passage explicitly lists reproducible prompts, executive summary, priority list, and CI test translations as deliverables.","security,red-team,guardrails",8,Breaking-Securing AI
100025,129,mostly-true,A red team should deliver reproducible adversarial prompts and prioritized fixes for developers.,"red team deliverables, reproducible test cases, CI/QA","Reflects passage guidance to provide reproducible prompts, priority list, and regression tests; omits potential coordination details.","security,red-team,guardrails",8,Breaking-Securing AI
100026,129,FALSE,Red Team outputs must be immediately useful and reproducible for developers.,"Day One Security Sweep deliverables, reproducible test cases and priority list","Contradicts passage specifics: passage requires exact prompts, one-page executive summary, and priority list.","security,red-team,guardrails",8,Breaking-Securing AI
100027,69,barely-true,A linear regression model trained on five budget points reliably predicts a $400M film's box office.,toolchain example using LinearRegression and budgets dataset,Model trained on only five points; extrapolating to $400M is largely unsupported and overreaching.,"ai,tool-chain,notebooks",2,AI Survival Kit
100028,69,TRUE,A linear regression model predicts box office revenue from production budgets.,Scikit-learn linear regression example with budgets and box_office arrays,"Training code fits LinearRegression on budget inputs to predict box_office outputs, then predicts $400M.","ai,tool-chain,notebooks",2,AI Survival Kit
100029,69,barely-true,The model accurately predicts real-world box office for a $400M movie using simple linear regression.,linear regression model predicting box_office from budgets in Colab,Overclaims accuracy: example fits a tiny synthetic dataset and omits validation or real-world factors.,"ai,tool-chain,notebooks",2,AI Survival Kit
100030,70,TRUE,The passage describes training LLM agents with LangChain and CrewAI.,agent training using LangChain and CrewAI tools,Directly supported by text listing LangChain and CrewAI for training LLM agents and building prompt templates.,"ai,open-source,builder",1,Introduction – The Gold Rush Paradox
100031,70,FALSE,Open-source contributors no longer influence AI development decisions.,open-source contribution influence on AI models,Contradicts passage emphasis on contributing and community impact; claims community influence vanishes.,"ai,open-source,builder",1,Introduction – The Gold Rush Paradox
100032,11,half-true,"Many leading AI models use PyTorch for research and open-source releases, but some stacks are undisclosed.","frameworks behind models (PyTorch, JAX, undisclosed stacks)",Passage shows PyTorch widely used yet several entries are explicitly marked undisclosed or mixed.,"deep-learning,frameworks,tensors",5,Deep Learning
100033,11,barely-true,Most popular deep-learning models run exclusively on JAX for all tasks.,"frameworks used by models like GPT, Gemini, Llama",List shows many models use PyTorch or undisclosed stacks; claiming exclusive JAX is largely unsupported.,"deep-learning,frameworks,tensors",5,Deep Learning
100034,11,half-true,Many top LLMs and vision models are implemented using PyTorch or JAX frameworks.,"frameworks behind popular AI programs (PyTorch, JAX, TPU)","Mixes correct examples (Llama 3, Stable Diffusion, Gemini) with unspecified/undisclosed stacks, so partially accurate.","deep-learning,frameworks,tensors",5,Deep Learning
100035,88,TRUE,Feature engineering turns raw data into meaningful signals for better model predictions.,feature engineering for dataset signal creation,Directly supported: passage defines feature engineering as transforming raw data into signals improving model predictions.,"data-prep,feature-engineering,rag",3,Prepping Data for AI
100036,88,mostly-true,Feature engineering turns raw data into signals that improve model predictions and usefulness.,"feature engineering for datasets (customer churn, fairness analysis)",Passage explicitly defines feature engineering as transforming raw data into meaningful signals that enhance model predictions; minor caveat about fairness limitations omitted.,"data-prep,feature-engineering,rag",3,Prepping Data for AI
100037,88,mostly-true,Feature engineering often improves prediction performance but can miss fairness issues with underrepresented groups.,feature engineering for a customer dataset and fairness analysis,Supports that engineered features boost model performance while noting underrepresentation can undermine fairness analysis.,"data-prep,feature-engineering,rag",3,Prepping Data for AI
100038,180,TRUE,ReLU creates piecewise-linear regions by switching neurons off or on across input boundaries.,"activation functions (ReLU, sigmoid, tanh) partitioning input space",Directly supported: passage describes ReLU as a hinge producing on/off patterns and piecewise-linear boundaries.,"deep-learning,frameworks,tensors",5,Deep Learning
100039,180,half-true,ReLU creates discrete on/off neuron patterns that always produce piecewise-linear decision boundaries.,"activation functions (ReLU, sigmoid, tanh) and piecewise-linear boundaries",Accurately notes ReLU on/off patterns and piecewise-linear boundaries but overstates 'always' without noting network depth or other layers affect shape.,"deep-learning,frameworks,tensors",5,Deep Learning
100040,180,barely-true,ReLU makes neural networks universally approximate any function with a single hidden layer.,"activation functions, ReLU, piecewise-linear boundaries","Overreaches: ReLU enables piecewise-linear regions but universal approximation requires depth or wider architectures, not a single layer.","deep-learning,frameworks,tensors",5,Deep Learning
100041,71,half-true,A small T5 model can reliably translate English to French with default generation settings.,"T5 model usage for translation (t5-small, tokenizer, generate)","Model and code show translation setup, but reliability claim omits quality limits and tuning needs.","neural-networks,cnn,transformers",6,Neuron Building Blocks
100042,71,TRUE,T5-small can translate English sentences into French using sequence-to-sequence generation.,T5 model and tokenizer; translation task,"Code loads t5-small, encodes English prompt, and generates French output with beam search, directly supported by code.","neural-networks,cnn,transformers",6,Neuron Building Blocks
100043,71,FALSE,The T5-small model cannot perform English-to-French translation.,T5ForConditionalGeneration model usage and translation function,Contradicts shown code using T5-small to translate English to French via tokenizer and model.generate.,"neural-networks,cnn,transformers",6,Neuron Building Blocks
100044,106,half-true,Diffusion models are trained to reverse any arbitrary noise corruption to generate new outputs.,training process for diffusion models and noise reversal,"Correctly notes training to reverse noise, but overstates 'any arbitrary' noise and universality of capability.","generative-ai,diffusion,gans",7,Generative AI
100045,106,TRUE,A diffusion model learns to reverse noise by training on many corrupted examples.,diffusion model training on noisy examples,Passage explains training on thousands or millions of examples to recognize and reverse applied noise patterns.,"generative-ai,diffusion,gans",7,Generative AI
100046,106,half-true,A diffusion model learns to reverse noise and generate new outputs by training on many corrupted examples.,training diffusion models with noisy examples,Accurately describes learning-to-denoise mechanism but omits specifics like noise schedule and objective functions.,"generative-ai,diffusion,gans",7,Generative AI
100047,89,mostly-true,Feature engineering converts raw data into informative signals that improve model predictions and pattern detection.,feature engineering for datasets and merged customer profiles,"Broadly supported by passage: emphasizes reshaping datasets and merging context to boost model prediction, omitting implementation caveats.","data-prep,feature-engineering,rag",3,Prepping Data for AI
100048,89,TRUE,Feature engineering transforms raw data into meaningful signals that improve model predictions.,feature engineering; dataset and merged customer profiles,Passage defines feature engineering as converting raw data into signals and cites merging datasets to improve predictions.,"data-prep,feature-engineering,rag",3,Prepping Data for AI
100049,89,half-true,Feature engineering always requires merging external datasets to improve model predictions.,feature engineering; dataset merging; customer profiles,Mixes correct idea that merges can help with the incorrect claim that merging is always required.,"data-prep,feature-engineering,rag",3,Prepping Data for AI
100050,18,half-true,AI requires external tools to act autonomously on organized datasets in all cases.,"need for mechanisms to interact with data, reasoning and tool use","Accurately notes need for mechanisms, but passage doesn't claim external tools are always required.","agentic-ai,planning,tools",12,Agentic AI
100051,18,mostly-true,Agentic AI can analyze datasets and use tools to plan actions but requires reasoning mechanisms to act autonomously.,agentic AI planning with tools and datasets,Passage supports dataset analysis plus need for interaction and reasoning; minor overstates readiness for autonomous action.,"agentic-ai,planning,tools",12,Agentic AI
100052,18,half-true,Agentic AI can act autonomously once it has datasets and interaction mechanisms fully integrated.,agentic AI requiring datasets and interaction mechanisms,"Correct that datasets and mechanisms are needed, but overstates immediacy and completeness of autonomy capabilities.","agentic-ai,planning,tools",12,Agentic AI
100053,85,barely-true,"Equipping agents with web search tools guarantees consistently accurate, up-to-date answers.",tool-enabled agent using WebsiteSearchTool for web searches,Overstates reliability: web search access can improve information but does not ensure consistent accuracy or recency due to retrieval errors and source quality.,"agentic-ai,planning,tools",12,Agentic AI
100054,85,TRUE,Equipping agents with web search tools improves their decision-making and problem-solving abilities.,web search tool enabling external data access,"Passage states tools let agents access up-to-date information, enhancing decision-making and problem-solving.","agentic-ai,planning,tools",12,Agentic AI
100055,85,pants-fire,The agent autonomously controls real-world robots to perform physical tasks without human oversight.,agent tools and WebsiteSearchTool usage,Passage only describes web search tool and decision-making; no robot control or physical actuation capability exists.,"agentic-ai,planning,tools",12,Agentic AI
100056,23,TRUE,Audio fingerprinting extracts measurable features from raw audio to train listening models.,"audio fingerprint, feature extraction for models",Passage states raw audio is distilled into measurable features and used to teach AI to listen.,"media-forensics,voice-cloning,deepfake",9,Deepfake Defense
100057,23,half-true,Audio fingerprinting always enables AI models to fully distinguish real from synthetic speech.,"audio fingerprint, feature extraction for voice-cloning detection","Claims absolute discrimination though passage only describes extracting patterns and features, omitting limits and false positives.","media-forensics,voice-cloning,deepfake",9,Deepfake Defense
100058,23,half-true,Audio fingerprinting condenses raw sound into measurable features but may omit fine-grained signal details.,"audio fingerprint, feature extraction for models",Accurately notes feature extraction benefit while admitting omission of detailed raw signal information mentioned in passage.,"media-forensics,voice-cloning,deepfake",9,Deepfake Defense
100059,20,pants-fire,All models can be perfectly traced to individual data consent records for complete accountability.,data lineage and consent tracking in datasets,"Passage says lineage aids accountability, not that every model has perfect per-record consent; claims perfect traceability contradicts consent and collection reality.","ethics,governance,privacy",11,AI Ethics and Governance
100060,20,half-true,Data lineage guarantees full accountability and consent verification for all AI datasets.,data lineage and consent in transparency,"Accurately highlights data lineage importance but overstates guarantee; passage says it aids accountability and tracing, not ensures complete verification for all datasets.","ethics,governance,privacy",11,AI Ethics and Governance
100061,20,half-true,Data lineage claims full consent and provenance for all training datasets used by models.,transparency in data lineage and consent for datasets,Asserts complete consent/provenance which mixes correct emphasis on lineage with incorrect universality; passage promotes tracing but not guaranteed full consent.,"ethics,governance,privacy",11,AI Ethics and Governance
100062,25,half-true,The company exclusively partners only with cloud and hardware giants to provide all open models and training resources.,"integration with watsonx, NVIDIA, Google Cloud partnerships",Mixes correct partners and infrastructure involvement with incorrect exclusivity and completeness claims about open models and resources.,"open-source,community,ai",0,Foreword – Robo Interviews Clément Delangue
100063,25,barely-true,Clément Delangue claims the company’s partnerships fully ensure open-source AI remains community-controlled.,"integration with watsonx Granite models and partnerships (Google, NVIDIA, IBM)",Overstates evidence: passage cites collaborations and resources but not proof that community control is fully ensured.,"open-source,community,ai",0,Foreword – Robo Interviews Clément Delangue
100064,25,pants-fire,Delangue claims open-source AI partnerships secretly control global AI infrastructure and policymaking.,"enterprise AI partnerships with Google Cloud, NVIDIA, IBM, AWS",Allegation directly contradicts passage description of collaborative partnerships and openness; no evidence of secret global control.,"open-source,community,ai",0,Foreword – Robo Interviews Clément Delangue
100065,71,mostly-true,Enterprises prioritize trust and accountability over raw model performance when choosing AI systems.,"enterprise customers, trust and accountability, task-specific systems","Passage emphasizes enterprise preference for trust/accountability versus mere performance, minor nuance about task-specific tradeoffs omitted.","ethics,governance,privacy",11,AI Ethics and Governance
100066,71,TRUE,Enterprise customers prioritize trust and accountability over pure performance.,enterprise customers; trust and accountability,Passage states trust and accountability often tip the scale for enterprise customers compared to performance.,"ethics,governance,privacy",11,AI Ethics and Governance
100067,71,barely-true,Enterprise customers prioritize model performance over trust and accountability when choosing AI systems.,enterprise customers; trust and accountability vs performance,Contradicts passage emphasis that trust and accountability often tip the scale over mere performance.,"ethics,governance,privacy",11,AI Ethics and Governance
100068,102,mostly-true,Synthetic voices consistently leave identifiable acoustic traces that enable practical deepfake audio defenses.,voiceprint features and deepfake audio traces,"Passage indicates voiceprint-derived features reveal imitation traces, enabling defenses though methods are evolving.","media-forensics,voice-cloning,deepfake",9,Deepfake Defense
100069,102,barely-true,Synthetic voices always leave detectable traces that automated tools can reliably identify.,voiceprint features and deepfake audio detection,Overreaches by asserting always and reliable identification; passage only claims traces exist and defenses are developing.,"media-forensics,voice-cloning,deepfake",9,Deepfake Defense
100070,102,barely-true,Synthetic voices always leave detectable traces that allow reliable deepfake audio detection tools.,voiceprint features used for detection in deepfake audio,"Overreaches: passage says traces exist and can be modeled, but not that detection is always reliable.","media-forensics,voice-cloning,deepfake",9,Deepfake Defense
100071,125,barely-true,One-hot encoding of text with sparse_output=true always prevents data leakage in classification pipelines.,preprocessor using OneHotEncoder and train/test split with stratify,"Overstates protection: fitting encoder on training set prevents leakage, but sparse_output alone doesn't.","machine-learning,classification,evaluation",4,Classical Machine Learning
100072,125,barely-true,One-hot encoding text features and median imputation always prevent data leakage in train/test workflows.,preprocessor with OneHotEncoder and SimpleImputer,"Overstates protection: correct fit-on-training step helps, but those transforms can still leak via feature selection or improper handling.","machine-learning,classification,evaluation",4,Classical Machine Learning
100073,125,mostly-true,Stratified 80/20 train-test splitting and fitting preprocessing only on training data prevents label distribution shifts and leakage.,train_test_split with stratify and ColumnTransformer preprocessing,Approach preserves class ratios and avoids preprocessing leakage; minor caveat about other leakage sources.,"machine-learning,classification,evaluation",4,Classical Machine Learning
100074,109,TRUE,RAG improves model outputs by retrieving external documents to ground responses.,retrieval-augmented generation with LLMs and curated database,Passage states RAG queries external sources and provides retrieved snippets for LLMs to weave into grounded answers.,"data-prep,feature-engineering,rag",3,Prepping Data for AI
100075,109,half-true,"RAG always guarantees accurate answers by retrieving perfect, up-to-date database snippets.",RAG using curated database and retrieved snippets with an LLM,"Mixes correct mechanism (retrieval into LLM) with incorrect certainty about perfect, up-to-date accuracy.","data-prep,feature-engineering,rag",3,Prepping Data for AI
100076,109,FALSE,RAG replaces large language models and functions without any generative model involvement.,RAG with LLMs and retrieved document snippets,"Contradicts passage: RAG is described as paired with LLMs, not replacing them; retrieved snippets feed a generative model.","data-prep,feature-engineering,rag",3,Prepping Data for AI
100077,75,TRUE,Batched inference with batch sizes around 32–64 provides a practical speed-efficiency sweet spot.,batched inference throughput and speedup for model inputs,"Observed >5× speedup at batch size 32 and diminishing marginal gains beyond, supporting 32–64.","mlops,scaling,deployment",10,AI At Scale
100078,75,barely-true,Batch size 128 provides the best balance of throughput and resource efficiency for the model.,"batched inference throughput and speedup, batch size 32–64",Contradicts reported sweet spot of 32–64; 128 overreaches beyond observed marginal gains.,"mlops,scaling,deployment",10,AI At Scale
100079,75,half-true,Batched inference with batch size 32 to 64 yields a practical 3–6× speedup over batch size 1 for this model.,"batched inference throughput and speedup, batch size 32–64","Passage reports over 5× speedup at batch 32 but omits exact 3–6× range, mixing accurate and inferred specifics.","mlops,scaling,deployment",10,AI At Scale
100080,105,barely-true,Human-in-the-loop sign-off checkpoints always prevent real-world consequences from autonomous actions.,HumanLayer with LangChain human approval checkpoint,Overreaches beyond passage: sign-off introduces review but doesn't guarantee prevention of real-world impacts.,"security,red-team,guardrails",8,Breaking-Securing AI
100081,105,barely-true,HumanLayer integration can enforce human approval checkpoints for critical model actions.,HumanLayer with LangChain approval checkpoint example,"Passage only gives a simplified, illustrative code snippet and notes complexity, so enforcement claim is overstated.","security,red-team,guardrails",8,Breaking-Securing AI
100082,105,FALSE,The passage claims human sign-off checkpoints are unnecessary for critical decisions.,human approval checkpoint using HumanLayer and LangChain,Contradicts passage instruction to introduce deliberate human sign-off; it actually advocates requiring approval.,"security,red-team,guardrails",8,Breaking-Securing AI
100083,59,TRUE,Decision trees provide transparent rule-based explanations for each classification decision.,interpretability of decision tree model in medical diagnosis and credit approval,"Passage explicitly highlights rule paths and transparency, citing regulators, doctors, and auditors needing explanations.","machine-learning,classification,evaluation",4,Classical Machine Learning
100084,59,barely-true,Decision trees always provide complete explanations of model decisions for regulators and auditors.,interpretability of decision trees in medical diagnosis and credit approval,"Overstates capabilities: decision trees offer transparency but may omit feature interactions, noise, or preprocessing steps.","machine-learning,classification,evaluation",4,Classical Machine Learning
100085,59,half-true,"Decision trees always provide fully transparent, easily interpretable classifications for regulated tasks.","decision trees, interpretability, credit approval","Accurate about rule paths but overstates universality; ignores complex trees, pruning, and feature interactions.","machine-learning,classification,evaluation",4,Classical Machine Learning
100086,61,mostly-true,The cheat sheet broadly helps users craft better prompts and design smarter agents.,agentic-ai prompt engineering and model tools,Passage endorses a cheat sheet as a practical game plan that improves prompt design and agent building.,"agentic-ai,planning,tools",12,Agentic AI
100087,61,TRUE,A cheat sheet summarizes prompts and models to help build smarter agents.,agentic-ai prompt and model cheat sheet,Directly supported: text says packaging prompts and models into a cheat sheet helps shape better prompts and smarter agents.,"agentic-ai,planning,tools",12,Agentic AI
100088,61,TRUE,The cheat sheet helps shape better prompts and build smarter agents.,"prompting and agent design; few-shot example, prompts, models","Passage explicitly frames a cheat sheet as a game plan to shape prompts and build smarter agents, improving odds.","agentic-ai,planning,tools",12,Agentic AI
100089,139,TRUE,Application-layer trust in LLM outputs causes the true security vulnerability in red-team exploits.,RAG pipeline and automation hook in downstream code,"Passage states exploits succeeded due to fragile downstream assumptions, not inherent model bugs.","security,red-team,guardrails",8,Breaking-Securing AI
100090,139,pants-fire,The application layer's RAG pipeline trust enabled successful red-team exploits.,RAG pipeline and downstream application logic,"Passage asserts exploits stem from fragile downstream assumptions, not the model itself.","security,red-team,guardrails",8,Breaking-Securing AI
100091,139,half-true,Red-team exploits often arise from fragile downstream application assumptions rather than model outputs alone.,RAG pipeline and automation hook in model deployment,Accurately notes downstream fragility but omits that model confidence and context also contribute vulnerability.,"security,red-team,guardrails",8,Breaking-Securing AI
100092,102,pants-fire,"Dropout permanently disables half the neurons during inference, reducing model capacity by 50%.",PyTorch nn.Dropout layer behavior during inference,Contradicts fact that dropout is inactive during inference; inference restores all neurons and scales outputs.,"deep-learning,frameworks,tensors",5,Deep Learning
100093,102,half-true,Dropout permanently removes individual neurons from the trained model to improve generalization.,dropout behavior in PyTorch neural network layers,Mixes correct goal (improves generalization) with incorrect mechanism: neurons are not permanently removed at inference.,"deep-learning,frameworks,tensors",5,Deep Learning
100094,102,mostly-true,Dropout is disabled during inference and outputs are scaled to match training behavior.,PyTorch nn.Dropout in model inference,"Passage states dropout is active only in training and restored during inference, with outputs scaled accordingly.","deep-learning,frameworks,tensors",5,Deep Learning
100095,85,barely-true,Fine-tuning SpeechT5 always produces indistinguishable clones of a target speaker's voice.,fine-tuning SpeechT5 on a prepared dataset,Overreaches beyond passage: fine-tuning specializes voice but does not guarantee indistinguishable cloning.,"media-forensics,voice-cloning,deepfake",9,Deepfake Defense
100096,85,TRUE,Fine-tuning SpeechT5 enables the model to replicate a specific speaker's voice.,fine-tuning SpeechT5 on a prepared dataset,Passage explicitly states SpeechT5 is fine-tuned on a dataset to replicate a speaker's rhythm and tone.,"media-forensics,voice-cloning,deepfake",9,Deepfake Defense
100097,85,mostly-true,Fine-tuning a SpeechT5 model customizes it to replicate a specific speaker's voice.,fine-tuning SpeechT5 on a prepared dataset for voice cloning,"Accurately reflects described process of adapting SpeechT5 to a speaker, omitting potential dataset limitations and exact hyperparameter effects.","media-forensics,voice-cloning,deepfake",9,Deepfake Defense
100098,36,barely-true,Ethics frameworks guarantee AI systems will prevent misuse and harm in all operational contexts.,ethical frameworks and human oversight in AI governance,Overreaches beyond passage: frameworks guide behavior but their impact depends on translation into practice.,"ethics,governance,privacy",11,AI Ethics and Governance
100099,36,FALSE,AI governance frameworks universally eliminate all misuse without need for human oversight.,governance frameworks and human oversight in AI ethics,Contradicts passage: governance depends on translation into practice and human oversight remains necessary to prevent misuse.,"ethics,governance,privacy",11,AI Ethics and Governance
100100,36,mostly-true,AI governance principles generally require human oversight to maintain control and mitigate misuse.,governance principles and human oversight in AI ethics,"Principles emphasize human oversight and guardrails, though practical impact depends on real-world implementation.","ethics,governance,privacy",11,AI Ethics and Governance
100101,29,TRUE,Agentic AI workflows can use external tool outputs and datasets to filter and analyze user sentiment.,FronkonGames/steam-games-dataset usage in an Agentic AI notebook,"Example shows loading dataset, extracting Positive review counts, and filtering for analysis and insights.","agentic-ai,planning,tools",12,Agentic AI
100102,29,mostly-true,The example demonstrates loading a Hugging Face dataset to list top Steam games by positive reviews.,FronkonGames/steam-games-dataset load and Pandas processing,"Code and output show dataset loading, conversion to DataFrame, and top-5 positive review listing.","agentic-ai,planning,tools",12,Agentic AI
100103,29,FALSE,The dataset shows Grand Theft Auto V has the most positive reviews on Steam.,FronkonGames/steam-games-dataset positive review counts,"Listed rankings show Counter-Strike: Global Offensive has the highest positive reviews, contradicting GTA V.","agentic-ai,planning,tools",12,Agentic AI
100104,176,barely-true,Synthetic data generation always preserves privacy while fully matching real data distributions.,synthetic data for sensitive datasets and model training,Overreaches: synthetic data can reduce disclosure risk but may still leak or fail to perfectly match real distributions.,"data-prep,feature-engineering,rag",3,Prepping Data for AI
100105,176,FALSE,Synthetic data generation never preserves statistical patterns of real datasets.,synthetic data replicating sample data patterns,Contradicts passage: synthetic methods are described as replicating patterns to mimic real data for training.,"data-prep,feature-engineering,rag",3,Prepping Data for AI
100106,176,half-true,Synthetic customer-service transcripts perfectly preserve all statistical properties of original data.,"synthetic data for sensitive datasets, e.g., customer service transcripts",Mixes correct idea of mimicry with incorrect absolute claim about perfectly preserving all statistical properties.,"data-prep,feature-engineering,rag",3,Prepping Data for AI
100107,46,pants-fire,IBM secretly built a mass-surveillance facial recognition program despite public withdrawal claims.,"IBM facial recognition withdrawal, racial profiling and surveillance",Directly contradicts passage detail that IBM publicly withdrew from general-purpose facial recognition research citing surveillance concerns.,"ethics,governance,privacy",11,AI Ethics and Governance
100108,46,half-true,IBM ceased all facial recognition development permanently in 2020 due to racial profiling concerns.,ethical leadership example involving facial recognition research,Accurately notes IBM's 2020 withdrawal and racial profiling concerns but overstates permanence and scope of cessation.,"ethics,governance,privacy",11,AI Ethics and Governance
100109,46,half-true,IBM abandoned all facial recognition-related tools and datasets in 2020 due to mass surveillance concerns.,ethical leadership; facial recognition research and dataset stewardship,"Partly correct about IBM pausing general-purpose facial recognition research in 2020, but overstates abandoning all tools and datasets and omits nuance about research scope and policy motivations.","ethics,governance,privacy",11,AI Ethics and Governance
